review_id,rating_category,text,text_clean,is_advertisement,is_irrelevant,is_rant_without_visit,is_relevant,confidence_advertisement,confidence_irrelevant,confidence_rant,reasoning
1,taste,We went to Marmaris with my wife for a holiday. We chose this restaurant as a place for dinner based on the reviews and because we wanted juicy food. When we first went there was a serious queue. You proceed by taking the food you want in the form of an open buffet. Both vegetable dishes and meat dishes were plentiful. There was also dessert for those who wanted it. After you get what you want you pay at the cashier. They don't go through cards they work in cash. There was a lot of food variety. And the food prices were unbelievably cheap. We paid only 84 TL for all the meals here. It included buttermilk and bread. But unfortunately I can't say it's too clean as a place..,we went to marmaris with my wife for a holiday. we chose this restaurant as a place for dinner based on the reviews and because we wanted juicy food. when we first went there was a serious queue. you proceed by taking the food you want in the form of an open buffet. both vegetable dishes and meat dishes were plentiful. there was also dessert for those who wanted it. after you get what you want you pay at the cashier. they don't go through cards they work in cash. there was a lot of food variety. and the food prices were unbelievably cheap. we paid only 84 tl for all the meals here. it included buttermilk and bread. but unfortunately i can't say it's too clean as a place.,FALSE,FALSE,FALSE,TRUE,0.05,0.05,0.01,"The review describes a personal dining experience, mentions food, prices, and cleanliness. No promotional language or evidence of not visiting."
2,menu,During my holiday in Marmaris we ate here to fit the food. It's really good that the food is cheap and nice. Eating as much bread as you want is a big plus for those who are not satisfied without bread. It is a place that I can recommend to those who will go to Marmaris. On July 1 there was a small increase but even the price hike is cheap. I leave the photo of the latest prices and breakfast below. there was a serious queue. You proceed by taking the food you want in the form of an open buffet. Both vegetable dishes and meat dishes were plentiful. There was also dessert for those who wanted it. After you get what you want you pay at the cashier. They don't go through cards they work in cash. There was a lot of food variety. And the food prices were unbelievably cheap. We paid only 84 TL for all the meals here. It included buttermilk and bread. But unfortunately I can't say it's too clean as a place..,during my holiday in marmaris we ate here to fit the food. it's really good that the food is cheap and nice. eating as much bread as you want is a big plus for those who are not satisfied without bread. it is a place that i can recommend to those who will go to marmaris. on july 1 there was a small increase but even the price hike is cheap. i leave the photo of the latest prices and breakfast below. there was a serious queue. you proceed by taking the food you want in the form of an open buffet. both vegetable dishes and meat dishes were plentiful. there was also dessert for those who wanted it. after you get what you want you pay at the cashier. they don't go through cards they work in cash. there was a lot of food variety. and the food prices were unbelievably cheap. we paid only 84 tl for all the meals here. it included buttermilk and bread. but unfortunately i can't say it's too clean as a place.,FALSE,FALSE,FALSE,TRUE,0.05,0.05,0.01,"The reviewer shares their experience, discusses food, prices, and recommends the place. No ad or rant without visit."
3,outdoor_atmosphere,Prices are very affordable. The menu in the photo cost 108 liras. You have to wait 10-15 minutes for food. Staff is annoying. Well it tastes good. Boiled meat was delicious.,prices are very affordable. the menu in the photo cost 108 liras. you have to wait 10-15 minutes for food. staff is annoying. well it tastes good. boiled meat was delicious.,FALSE,FALSE,FALSE,TRUE,0.05,0.05,0.01,"Mentions food quality, staff, and prices. No policy violations."
4,indoor_atmosphere,Turkey's cheapest artisan restaurant and its food is delicious!,turkey's cheapest artisan restaurant and its food is delicious!,FALSE,FALSE,FALSE,TRUE,0.01,0.01,0.01,"Short, positive review about food and price. No ad or irrelevant content."
5,menu,I don't know what you will look for in terms of price performance point; taste; but yigit restaurant writes a big plus for those who come to work in this region.,i don't know what you will look for in terms of price performance point; taste; but yigit restaurant writes a big plus for those who come to work in this region.,FALSE,FALSE,FALSE,TRUE,0.01,0.01,0.01,"Mentions price performance and taste, relevant to the restaurant."
6,taste,What you see is 125 TL in total. It's a pretty convenient place. We can say that it is an artisan restaurant; you should not expect a restaurant; but they are still quite good in terms of price and performance. As of July 1; prices will increase,what you see is 125 tl in total. it's a pretty convenient place. we can say that it is an artisan restaurant; you should not expect a restaurant; but they are still quite good in terms of price and performance. as of july 1; prices will increase,FALSE,FALSE,FALSE,TRUE,0.01,0.01,0.01,"Describes food, price, and expectations. No ad or irrelevant content."
7,taste,Delicious food at rock bottom prices. Friendly staff; Highly recommend,delicious food at rock bottom prices. friendly staff; highly recommend,FALSE,FALSE,FALSE,TRUE,0.01,0.01,0.01,Positive review about food and staff. No policy violations.
8,outdoor_atmosphere,"Every time I go, I still experience the amazement I experienced years ago as if it were the first time. There is no need to explain. Folk hero is a business.","every time i go, i still experience the amazement i experienced years ago as if it were the first time. there is no need to explain. folk hero is a business.",FALSE,FALSE,FALSE,TRUE,0.01,0.01,0.01,Describes repeated visits and positive experiences. No ad or irrelevant content.
9,indoor_atmosphere,The most f/p of all businesses I've seen.,the most f/p of all businesses i've seen.,FALSE,FALSE,FALSE,TRUE,0.01,0.01,0.01,Mentions value for money and overall impression. No violations.
10,taste,The food was just like the ones my mother made. Prices were reasonable.,the food was just like the ones my mother made. prices were reasonable.,FALSE,FALSE,FALSE,TRUE,0.01,0.01,0.01,"Describes food and prices, all relevant to the restaurant."
